Date,Mid Price
8/31/2022,126.46
8/30/2022,83.23
8/29/2022,97.52
8/28/2022,138.76
8/27/2022,96.29
8/26/2022,121.88
8/25/2022,66.37
8/24/2022,137.29
8/23/2022,93.31
8/22/2022,169.02
8/21/2022,149.65
8/20/2022,49.35
8/19/2022,98.49
8/18/2022,92.67
8/17/2022,75.77
8/16/2022,103.94
8/15/2022,145.63
8/14/2022,95.08
8/13/2022,112.14
8/12/2022,48.55
8/11/2022,99.36
8/10/2022,84.3
8/9/2022,189.05
8/8/2022,227.88
8/7/2022,187.1
8/6/2022,265.44
8/5/2022,107.43
8/4/2022,78.43
8/3/2022,115.69
8/2/2022,96.66
8/1/2022,141.32
7/31/2022,118.84
7/30/2022,61.72
7/29/2022,130.23
7/28/2022,111
7/27/2022,181.99
7/26/2022,94.68
7/25/2022,120.62
7/24/2022,209.57
7/23/2022,100.99
7/22/2022,138.82
7/21/2022,132.76
7/20/2022,113.33
7/19/2022,177.18
7/18/2022,182.94
7/17/2022,195.72
7/16/2022,214.9
7/15/2022,210.77
7/14/2022,203.03
7/13/2022,52.82
7/12/2022,126.67
7/11/2022,200.3
7/10/2022,210.3
7/9/2022,104.17
7/8/2022,104.33
7/7/2022,93.67
7/6/2022,91.52
7/5/2022,116.59
7/4/2022,309.83
7/3/2022,135.95
7/2/2022,130.95
7/1/2022,177.73
6/30/2022,158.37
6/29/2022,135.33
6/28/2022,129.96
6/27/2022,140.94
6/26/2022,239.87
6/25/2022,91.56
6/24/2022,111.86
6/23/2022,96.96
6/22/2022,96.97
6/21/2022,140.11
6/20/2022,165.42
6/19/2022,184.49
6/18/2022,143.96
6/17/2022,108.29
6/16/2022,189.54
6/15/2022,140.82
6/14/2022,120.62
6/13/2022,95.37
6/12/2022,124.32
6/11/2022,80.16
6/10/2022,93.65
6/9/2022,112.11
6/8/2022,110.13
6/7/2022,167.65
6/6/2022,127.27
6/5/2022,139.95
6/4/2022,88.7
6/3/2022,163.85
6/2/2022,144.13
6/1/2022,161.66
5/31/2022,72.9
5/30/2022,82.99
5/29/2022,79.32
5/28/2022,61.72
5/27/2022,145.02
